,station_id,start_count,end_count,start_min,end_min,start_max,end_max
153,157,53253,55508,2013-08-01 21:15:00,2013-07-30 10:35:00,2017-12-31 11:48:00,2017-12-31 15:22:00
154,114,56028,64121,2013-08-02 15:38:00,2013-08-02 14:13:00,2017-12-31 14:34:00,2017-12-31 13:07:00
155,111,38324,37160,2013-08-02 12:08:00,2013-08-01 20:27:00,2017-12-31 18:47:00,2017-12-31 18:46:00
156,117,71742,73560,2013-08-02 18:35:00,2013-08-02 17:37:00,2017-12-31 17:14:00,2017-12-31 23:23:00
157,233,34423,32743,2013-08-02 18:35:00,2013-08-02 17:37:00,2017-12-31 00:05:00,2017-12-31 16:30:00
158,136,3974,3986,2013-08-01 10:15:00,2013-08-01 10:41:00,2017-12-30 10:21:00,2017-12-29 14:57:00
159,144,51497,51887,2013-08-02 19:06:00,2013-08-02 19:01:00,2017-12-31 14:01:00,2017-12-31 15:48:00
160,229,46663,48247,2013-08-02 22:38:00,2013-08-02 21:34:00,2017-12-31 17:03:00,2017-12-31 15:57:00
161,212,63311,62419,2013-07-30 10:26:00,2013-08-02 20:21:00,2017-12-31 18:45:00,2017-12-31 18:02:00
162,168,34970,35773,2013-08-03 18:07:00,2013-08-03 15:33:00,2017-12-29 22:19:00,2017-12-31 16:15:00
163,128,41609,45205,2013-08-03 20:57:00,2013-08-03 19:09:00,2017-12-31 18:45:00,2017-12-31 19:14:00
164,35,325294,369619,2013-08-05 16:33:00,2013-08-05 16:15:00,2017-12-31 15:06:00,2017-12-31 12:16:00
165,138,24202,23968,2013-08-05 17:07:00,2013-08-05 17:05:00,2017-12-31 12:35:00,2017-12-31 12:51:00
166,184,10369,11740,2013-08-05 20:55:00,2013-08-05 17:11:00,2017-12-30 01:11:00,2017-12-28 13:15:00
167,124,6690,7188,2013-08-04 17:49:00,2013-07-24 13:00:00,2017-12-31 21:17:00,2017-12-30 14:48:00
168,109,19342,17998,2013-08-06 17:13:00,2013-08-06 17:55:00,2017-12-30 19:15:00,2017-12-30 11:46:00
169,120,21540,23841,2013-08-06 17:22:00,2013-08-06 18:35:00,2017-12-30 23:32:00,2017-12-31 09:16:00
170,191,68355,47833,2013-08-07 12:10:00,2013-08-07 11:57:00,2017-12-31 13:50:00,2017-12-31 14:26:00
171,143,52292,49760,2013-08-03 14:01:00,2013-08-03 12:41:00,2017-12-31 21:17:00,2017-12-31 23:53:00
172,175,36658,31085,2013-08-03 19:36:00,2013-08-03 16:52:00,2017-12-31 15:33:00,2017-12-29 11:45:00
173,196,49076,44706,2013-08-10 12:01:00,2013-08-10 12:39:00,2017-12-31 22:57:00,2017-12-31 21:49:00
174,194,53915,52813,2013-08-10 12:35:00,2013-08-10 12:45:00,2017-12-31 18:40:00,2017-12-31 18:39:00
175,199,90386,93863,2013-08-10 13:50:00,2013-08-10 13:14:00,2017-12-31 19:03:00,2017-12-31 18:55:00
176,314,14573,13916,2013-08-03 22:25:00,2013-07-29 15:12:00,2017-12-31 17:51:00,2017-12-30 09:26:00
177,197,48503,44002,2013-08-10 16:19:00,2013-08-10 18:13:00,2017-12-31 18:22:00,2017-12-31 17:45:00
178,198,55292,59401,2013-08-10 19:05:00,2013-08-10 17:23:00,2017-12-31 16:12:00,2017-12-31 18:35:00
